hour,total_transactions,fraud_transactions,fraud_rate
0.0,7695,6,0.0007797270955165692
1.0,4220,10,0.002369668246445498
2.0,3328,57,0.017127403846153848
3.0,3492,17,0.004868270332187858
4.0,2209,23,0.01041195110909914
5.0,2990,11,0.0036789297658862876
6.0,4101,9,0.0021945866861741038
7.0,7243,23,0.003175479773574486
8.0,10276,9,0.0008758271701050993
9.0,15838,16,0.0010102285642126531
10.0,16598,8,0.0004819857814194481
11.0,16856,53,0.003144280968201234
12.0,15420,17,0.0011024643320363165
13.0,15365,17,0.0011064106736088514
14.0,16570,23,0.001388050694025347
15.0,16461,26,0.0015794909179272219
16.0,16453,22,0.0013371421625235518
17.0,16166,29,0.0017938884077693925
18.0,17039,33,0.001936733376371853
19.0,15649,19,0.0012141350885040577
20.0,16756,18,0.0010742420625447602
21.0,17703,16,0.0009038016155453877
22.0,15441,9,0.0005828638041577618
23.0,10938,21,0.0019199122325836533
