transaction_id,fraud_score_for_explanation,selected_threshold,review_decision,risk_notes,explanation_used,looks_faithful,made_up_detail_risk,words_to_check,missing_context,missing_fields,my_notes
486,0.5350200631358848,0.7,Review,"model score 0.535 is above threshold 0.70; transaction amount is 1.00; large anonymized feature values: V4=3.05, V14=-2.85, V17=2.14; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
525,0.4769180712877557,0.7,Review,"model score 0.477 is above threshold 0.70; transaction amount is 179.63; large anonymized feature values: V4=4.24, V14=-3.43, V16=3.00; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
983,0.4356835145285722,0.7,Review,"model score 0.436 is above threshold 0.70; transaction amount is 172.68; large anonymized feature values: V3=-2.42, V14=-2.15, V1=1.71; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
764,0.4274117337800413,0.7,Review,"model score 0.427 is above threshold 0.70; transaction amount is 5.60; large anonymized feature values: V4=4.01, V19=-2.88, V14=-2.33; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
12,0.2741256844177421,0.7,Review,"model score 0.274 is above threshold 0.70; transaction amount is 4.80; large anonymized feature values: V17=3.53, V11=3.46, V2=2.33; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
221,0.2032388215167679,0.7,Review,"model score 0.203 is above threshold 0.70; transaction amount is 14.23; large anonymized feature values: V14=-3.18, V18=2.31, V17=2.05; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
337,0.1925685076598821,0.7,Review,"model score 0.193 is above threshold 0.70; transaction amount is 0.89; large anonymized feature values: V14=-3.75, V11=2.62, V17=2.43; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
798,0.1887550076811962,0.7,Review,"model score 0.189 is above threshold 0.70; transaction amount is 30.00; large anonymized feature values: V3=-2.60, V14=-2.25, V1=1.97; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
507,0.1825571910789289,0.7,Review,"model score 0.183 is above threshold 0.70; transaction amount is 170.87; large anonymized feature values: V4=2.17, V3=2.13, V19=-1.68; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
130,0.1785363793632819,0.7,Review,"model score 0.179 is above threshold 0.70; transaction amount is 1.00; large anonymized feature values: V15=1.36, V4=1.27, V1=1.20; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
372,0.1780448839533996,0.7,Review,"model score 0.178 is above threshold 0.70; transaction amount is 4.49; large anonymized feature values: V14=-3.73, V3=-2.39, V17=2.33; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
390,0.1724604217788226,0.7,Review,"model score 0.172 is above threshold 0.70; transaction amount is 1.00; large anonymized feature values: V14=-1.42, V4=1.26, V1=1.26; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
773,0.1640735088402487,0.7,Review,"model score 0.164 is above threshold 0.70; transaction amount is 0.77; large anonymized feature values: V4=2.92, V8=-2.40, V9=-1.53; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
353,0.1576973959272061,0.7,Review,"model score 0.158 is above threshold 0.70; transaction amount is 2.28; large anonymized feature values: V4=3.44, V5=3.28, V1=-2.42; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
663,0.1505252783358644,0.7,Review,"model score 0.151 is above threshold 0.70; transaction amount is 1.00; large anonymized feature values: V4=1.48, V15=1.34, V19=-1.18; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
270,0.1498858326587888,0.7,Review,"model score 0.150 is above threshold 0.70; transaction amount is 354.88; large anonymized feature values: V7=2.50, V14=-1.99, V10=-1.72; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
167,0.1448482147975459,0.7,Review,"model score 0.145 is above threshold 0.70; transaction amount is 1.00; large anonymized feature values: V4=2.77, V8=-2.38, V2=2.23; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
127,0.1419712193451529,0.7,Review,"model score 0.142 is above threshold 0.70; transaction amount is 0.76; large anonymized feature values: V3=-3.18, V1=2.06, V14=-2.03; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
939,0.1414461332678046,0.7,Review,"model score 0.141 is above threshold 0.70; transaction amount is 50.00; large anonymized feature values: V16=-2.93, V3=2.66, V10=1.99; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
678,0.1403862674785808,0.7,Review,"model score 0.140 is above threshold 0.70; transaction amount is 26.20; large anonymized feature values: V4=2.68, V11=-1.76, V9=-1.72; no merchant, identity, or location details are used",nan,yes,no,,yes,score/risk; threshold; decision,
